,x,y,r
1091586,0.01466259923902823,0.26408895827067486,1.6041665
1092580,0.01491189627104745,0.2584238717900979,1.6041665
1087583,0.010364493075347633,0.2610464555614434,1.6041665
1082584,0.005390487375220232,0.2623156171080207,1.6041665
1086578,0.009669020236884696,0.25622096825783286,1.6041665
1089574,0.012730284672195011,0.2523890886002225,1.6041665
1083573,0.006274818708257681,0.25167245749967776,1.6041665
1086569,0.009531147807074172,0.24812857272436498,1.6041665
1085564,0.008710310356186473,0.24303085420754386,1.6041665
1090566,0.013610128467696898,0.24530865187688874,1.6041665
1094558,0.016943605020313408,0.23723012951797165,1.6041665
1094563,0.017548467792370286,0.24220839360478166,1.6041665
1099566,0.02194816416749018,0.2446460526378605,1.6041665
1104569,0.026722331228010047,0.24739411559705737,1.6041665
1101574,0.024203676916393364,0.25229208140584053,1.6041665
1098571,0.02116141290596715,0.24949882798886708,1.6041665
1093570,0.016685905790355744,0.248770796633392,1.6041665
1095576,0.01815485823677969,0.2543766380705498,1.6041665
1100578,0.023390286868224055,0.2565250991793535,1.6041665
1097582,0.019780015181243997,0.2601680535067241,1.6041665
1097587,0.02026638786646247,0.2646581117014928,1.6041665
1100591,0.02271858843074636,0.26881194830738675,1.6041665
1105593,0.02725711203089727,0.27093273945070634,
1109590,0.031464894566737824,0.268028510185278,1.6041665
1111596,0.033347750741159796,0.27344232320773,1.6041665
1107598,0.02963989898266576,0.2751120690889822,1.6041665
1108602,0.030228148317889548,0.2794341406126922,1.6041665
1107607,0.030012841995712986,0.28400732327933964,1.6041665
1113608,0.03508538256257486,0.2854146532422459,1.6041665
1118605,0.039746406389489716,0.28259040717242173,
1112602,0.03480448180876421,0.2796339792522999,1.6041665
1116598,0.03804228788030684,0.27581034902539275,1.6041665
1121601,0.0428458626336118,0.27875699984245883,1.6041665
1126605,0.04737426540442752,0.2822698824169686,1.6041665
1123610,0.044969995560202355,0.2866839580081062,1.6041665
1118612,0.040437964567549556,0.28869193054819575,1.6041665
1114615,0.03646334302450494,0.2915852178603994,1.6041665
1109612,0.031183611894838932,0.289255832605302,1.6041665
1103616,0.026219917983090733,0.29303653523910467,1.6041665
1103622,0.026080899799015705,0.2984142283583729,1.5625
1109623,0.031170340241276906,0.2988905756937781,
1109618,0.03179869097575301,0.294156758279268,1.6041665
1114621,0.036596632437258116,0.29783356964515034,
1119620,0.04111395958351837,0.296017501396388,
1123618,0.04535076789405599,0.29413989659567763,
1129621,0.05103208589337806,0.29703197131795156,1.6041665
1134615,0.055364564684989334,0.29199886379368784,1.6041665
1137622,0.05821501033565843,0.2980009929870291,1.5625
1140616,0.06124171118399384,0.2924579293356058,1.6041665
1144620,0.06518052790627747,0.29645400512725034,1.6041665
1151619,0.07156562546247891,0.2957852951988122,1.6041665
1149614,0.06982484281683701,0.29086275296105873,1.6041665
1144612,0.0649407788264612,0.28853391193923683,1.6041665
1138610,0.05936553857611399,0.2868175338594255,1.6041665
1128614,0.04944540719629175,0.29062971609164123,1.6041665
1131609,0.05230368216776704,0.28622941819553255,1.6041665
1134606,0.055549699478204546,0.28270593739407746,1.6041665
1130602,0.05120232588115671,0.27906444390339386,1.6041665
1135600,0.05599768939556702,0.2772138120676568,1.6041665
1141599,0.06213043457504463,0.2764236712831016,1.6041665
1139604,0.06012211830867589,0.2810030983104899,1.6041665
1144605,0.06452630222133113,0.2820998333882341,1.6041665
1148608,0.06853290940425563,0.2848148890766653,1.6041665
1152609,0.07265180050508667,0.2856453031236126,1.6041665
1155611,0.07581398679518224,0.28818827606949005,1.6041665
1156616,0.07632394292234172,0.29261990079677663,1.6041665
1157622,0.07704987372833225,0.298037303849257,1.5625
1161618,0.08131904959683778,0.2940580706452984,1.6041665
1164623,0.08375645083520712,0.29892179749748177,1.5625
1171622,0.09073466718225616,0.29811085172507623,1.5625
1178622,0.09725162195838047,0.2981728561266823,1.5625
1175617,0.09457533095589334,0.2939814005891087,1.6041665
1178613,0.0974434403181378,0.28963005504394446,1.6041665
1181617,0.10053754970902627,0.29325690197594867,1.6041665
1184621,0.102869637034597,0.2973888069356325,1.6041665
1189621,0.10754565114647043,0.2974681790622956,1.6041665
1188616,0.1069787892241813,0.2924961211444176,1.6041665
1184612,0.10351230969737764,0.28914006368484124,1.6041665
1181609,0.10022313564298299,0.28600137490511723,1.6041665
1176607,0.09574056304274144,0.283927693357967,1.6041665
1174611,0.09329905618492478,0.28769412180322623,1.6041665
1171615,0.09040316228176976,0.29144011763077116,1.6041665
1167618,0.08676787496001795,0.29463209353173975,1.6041665
1165613,0.08500446366765488,0.2899886856766395,1.6041665
1160611,0.08051702161178996,0.2880234784144671,1.6041665
1164608,0.08444399887334164,0.28484754307319937,1.6041665
1169610,0.08855868887520356,0.28650540175395883,1.6041665
1171606,0.09091474156080377,0.282785662794972,1.6041665
1171601,0.09029049644577478,0.2784934381698485,1.6041665
1175602,0.09493672094677508,0.27904191073619494,1.6041665
1180605,0.09968510853634671,0.2817451842516076,1.6041665
1180600,0.09954484911848539,0.2775978784450205,1.6041665
1178597,0.09699907862261241,0.2741965636920021,1.6041665
1172597,0.09209343626025812,0.2744195847595587,1.6041665
1169593,0.08868663143472312,0.2707166692923535,1.6041665
1166589,0.08634977013305081,0.2669267433367229,1.6041665
1163595,0.08334025559868052,0.272280910301763,1.6041665
1160591,0.08069404064563253,0.26865870367452943,1.6041665
1157595,0.0773396540776918,0.2721960290066788,1.6041665
1156600,0.07657448118814723,0.2772653805575049,1.6041665
1161599,0.08131246150981766,0.2768500828284854,
1167598,0.08669998901985507,0.2754795124815605,1.6041665
1166603,0.08591648406208088,0.2803258238689258,1.6041665
1161605,0.08119492621819953,0.28172860900658336,1.6041665
1157606,0.07731425652483181,0.2830302813304117,1.6041665
1153603,0.07330106125488742,0.28050532537034123,1.6041665
1148602,0.06917835097317508,0.2795427581169529,
1146598,0.06698776429925195,0.2755439229671216,1.6041665
1152597,0.07213506533186305,0.2744326368102201,1.6041665
1147592,0.06819262038774233,0.2701061732284968,1.6041665
1152591,0.07296984279296703,0.2690913213888451,1.6041665
1151586,0.07155722326454046,0.2641197026767684,1.6041665
1149581,0.06935355589609932,0.25956189221316756,1.6041665
1144580,0.0646146207792084,0.2585715786106775,1.6041665
1141575,0.06228406112598998,0.2538420959664676,1.6041665
1147575,0.06742716105963174,0.25315814750631366,1.6041665
1151577,0.0719173720216357,0.2549594546209702,1.6041665
1154581,0.07487208131036112,0.25919595739703727,1.6041665
1156588,0.07670567005141586,0.26556468976316305,1.6041665
1159583,0.07897340417913878,0.2609019473048518,1.6041665
1162586,0.08251359389694897,0.26420309449130897,1.6041665
1164581,0.08386739803980557,0.25949772997436377,1.6041665
1169584,0.0884510834538764,0.26185072731525905,1.6041665
1173588,0.0923434971284534,0.26546220204421656,1.6041665
1174592,0.09363008368780115,0.26981787281172875,1.6041665
1179592,0.0979725878292254,0.26973819515059505,1.6041665
1179587,0.09849638848707938,0.2646173419455862,1.6041665
1183592,0.10208393604781625,0.2693632470675852,1.6041665
1186588,0.10498489036563888,0.2658280222849205,1.6041665
1190585,0.10928757954637683,0.2628947004091298,1.6041665
1192590,0.11082947834763146,0.2682738257212285,
1196587,0.1145168020088893,0.2647407014880483,1.6041665
1201585,0.11898409788560607,0.26258973881576747,1.6041665
1206585,0.1243194935766152,0.2627521972225007,1.6041665
1211585,0.12894795888651792,0.26269252252123226,1.6041665
1213589,0.13087110741923644,0.26731544047090494,1.6041665
1216594,0.13411722020919573,0.27158534198377804,1.6041665
1222596,0.1396173180757059,0.2737254581823564,1.6041665
1218600,0.13542939528044726,0.27728274828256205,1.6041665
1213599,0.13058037227465638,0.27648500732805326,1.6041665
1210594,0.12804882822756591,0.2720567243840378,1.6041665
1207590,0.12514567788073652,0.267375936296063,1.6041665
1204594,0.12255780091564866,0.27176808978894257,1.6041665
1201590,0.11959325723615429,0.2674297199108222,1.6041665
1197593,0.11601926776754566,0.27077867369395947,1.6041665
1192596,0.11108794141376538,0.2735298779294311,1.6041665
1188594,0.10668872243625552,0.27120495156801244,1.6041665
1183597,0.1026676023659827,0.2742697487456378,1.6041665
1189599,0.10744778463639021,0.27683413774830645,
1185602,0.10394120371033423,0.2794633191546243,1.6041665
1186607,0.10462942010512301,0.2839752898996988,1.6041665
1190605,0.10916278781108432,0.28219283044269083,1.6041665
1189610,0.1083636242116973,0.28725769445598154,1.6041665
1194614,0.11222796690679772,0.2908109075805967,1.6041665
1194618,0.11222577087779116,0.2949646964467296,1.6041665
1194623,0.11225431925487799,0.29957055220581563,
1198621,0.11688278456478048,0.2975157660560751,1.6041665
1203621,0.12148346533377263,0.2972465615437129,1.6041665
1208621,0.12617256014016406,0.29698356320028263,
1213621,0.1311201180126892,0.2971258276881066,1.6041665
1219622,0.13621242284061144,0.29839093135499767,1.5625
1220618,0.13772109476819966,0.2944524010712803,1.6041665
1221614,0.1388415469592161,0.2904379359236928,1.6041665
1217610,0.13471969599320202,0.2873685843728666,1.6041665
1215615,0.1326578157149745,0.2921277611484277,1.6041665
1209615,0.12739899460063314,0.2916324706758518,1.6041665
1212610,0.1297696556531039,0.2867545555666948,1.6041665
1206610,0.12453212647217496,0.2867106349865613,1.6041665
1204605,0.12246480386119203,0.2821517169605049,1.6041665
1200610,0.11875542443034547,0.286592584105524,1.6041665
1204615,0.12215793267738914,0.29156166306231474,1.6041665
1199615,0.11724828017510953,0.29211739207233534,1.6041665
1195610,0.11338346008239887,0.28687674071103597,1.6041665
1196606,0.1145706524593139,0.2829021955516091,1.6041665
1200603,0.11825167447211765,0.28022814831788956,1.6041665
1194601,0.1122815309186563,0.2787158481684641,1.6041665
1197598,0.1154968038230002,0.2756854236187694,1.6041665
1202598,0.12008383102034208,0.275570848192334,1.6041665
1207600,0.12494526636399672,0.27710415383660586,1.6041665
1210604,0.12774825869221712,0.28160324439415857,1.6041665
1215605,0.13275195852369565,0.28193341258133664,1.6041665
1220606,0.13753576901594045,0.28329218165933856,1.6041665
1222602,0.1397641655805871,0.2788475144293428,1.6041665
1227600,0.144176656211659,0.2773029135576147,1.6041665
1231603,0.1476717795950715,0.28049663673383657,1.6041665
1230608,0.14681972034047996,0.28481848865464576,1.6041665
1233611,0.14987477860685838,0.2880436627854241,1.6041665
1232616,0.14881982536795427,0.2924446576820437,1.6041665
1228613,0.1447456186834329,0.2895004511407416,1.6041665
1226605,0.1427763535415742,0.2824014531983254,
1224610,0.14115692536843175,0.28670866810840745,1.6041665
1227618,0.143839708978417,0.29407067394220626,
1225622,0.1422776639980142,0.2982671517026386,1.5625
1232622,0.14873093393294473,0.2980191818359757,1.5625
